iter	RMSE
0	14.2612462
1	13.35685097
2	12.56905432
3	11.9348629
4	11.28347767
5	10.66590722
6	10.1544173
7	9.716621286
8	9.321337547
9	8.924803441
10	8.57248381
11	8.289327733
12	7.995759759
13	7.748181216
14	7.486849624
15	7.244820774
16	7.040579546
17	6.835983354
18	6.682394292
19	6.532763083
20	6.425705472
21	6.316312062
22	6.21976438
23	6.114193953
24	6.035865071
25	5.944512172
26	5.886341068
27	5.829560774
28	5.758969175
29	5.701813026
30	5.650144648
31	5.595777549
32	5.560587886
33	5.530673312
34	5.50450984
35	5.478538713
36	5.4444539
37	5.420597262
38	5.387732001
39	5.36755505
40	5.348730833
41	5.322477859
42	5.300563297
43	5.285914482
44	5.267773328
45	5.251764725
46	5.235554434
47	5.218104325
48	5.211180152
49	5.195095332
50	5.175309216
51	5.162729781
52	5.138616481
53	5.121984161
54	5.107305923
55	5.096640661
56	5.089201686
57	5.076304481
58	5.06520957
59	5.064222822
60	5.061058597
61	5.050218613
62	5.039904368
63	5.032236909
64	5.018153007
65	5.009144241
66	5.003156542
67	4.99000911
68	4.985841675
69	4.976571543
70	4.963817159
71	4.955893178
72	4.95267477
73	4.945138074
74	4.936863581
75	4.924472068
76	4.914296981
77	4.902840781
78	4.897346488
79	4.891183109
80	4.877042625
81	4.867287671
82	4.856621092
83	4.849552419
84	4.842018927
85	4.831612864
86	4.822954825
87	4.812178236
88	4.801491866
89	4.796414269
90	4.790918668
91	4.770812229
92	4.764513499
93	4.752368897
94	4.742184536
95	4.733882384
96	4.727027797
97	4.723833898
98	4.72021841
99	4.709047004
