iter	Passed	Remaining
0	1	106
1	2	105
2	3	115
3	4	111
4	6	116
5	7	114
6	8	115
7	10	116
8	11	116
9	12	113
10	13	110
11	14	108
12	15	106
13	17	104
14	18	103
15	19	100
16	20	98
17	21	96
18	22	94
19	23	93
20	24	91
21	25	89
22	26	87
23	27	85
24	28	84
25	29	82
26	30	81
27	31	80
28	32	78
29	33	77
30	34	75
31	35	74
32	36	73
33	37	71
34	38	70
35	39	69
36	40	68
37	41	66
38	42	65
39	43	64
40	44	63
41	45	62
42	46	61
43	47	60
44	48	59
45	49	58
46	50	56
47	51	56
48	52	54
49	53	53
50	54	52
51	55	51
52	56	50
53	57	48
54	58	47
55	59	46
56	60	45
57	61	44
58	62	43
59	62	41
60	63	40
61	65	39
62	66	38
63	67	37
64	68	36
65	68	35
66	69	34
67	70	33
68	71	32
69	72	31
70	73	30
71	74	29
72	75	27
73	76	26
74	77	25
75	78	24
76	79	23
77	80	22
78	81	21
79	82	20
80	83	19
81	84	18
82	85	17
83	85	16
84	86	15
85	87	14
86	88	13
87	89	12
88	90	11
89	91	10
90	92	9
91	93	8
92	93	7
93	94	6
94	95	5
95	96	4
96	97	3
97	98	2
98	99	1
99	100	0
